1	403
1	861
1	913
2	557
2	779
2	965
3	668
3	818
3	999
4	294
4	873
4	981
5	176
5	526
5	966
6	784
6	812
6	924
7	380
7	664
7	752
8	804
8	878
8	886
9	802
9	864
9	960
10	409
10	870
10	992
11	620
11	943
11	983
12	594
12	712
12	814
13	537
13	706
13	838
14	177
14	674
14	695
15	431
15	435
15	691
16	252
16	473
16	970
17	111
17	578
17	933
18	351
18	670
18	759
19	704
19	859
19	971
20	440
20	691
20	927
21	775
21	945
21	990
22	253
22	736
22	926
23	164
23	925
23	964
24	395
24	705
24	945
25	556
25	877
25	968
26	530
26	673
26	984
27	590
27	769
27	793
28	128
28	207
28	392
29	747
29	796
29	975
30	288
30	502
30	731
31	66
31	278
31	799
32	837
32	929
32	994
33	779
33	924
33	998
34	635
34	979
34	986
35	230
35	659
35	760
36	57
36	490
36	917
37	319
37	890
37	972
38	323
38	439
38	954
39	168
39	644
39	912
40	647
40	817
40	941
41	815
41	978
41	995
42	686
42	721
42	766
43	565
43	699
43	821
44	87
44	832
44	986
45	232
45	362
45	831
46	277
46	652
46	951
47	136
47	655
47	901
48	401
48	624
48	962
49	135
49	771
49	981
50	801
50	803
50	994
51	149
51	610
51	831
52	537
52	703
52	812
53	295
53	678
53	849
54	495
54	715
54	798
55	773
55	804
55	973
56	744
56	883
56	962
57	36
57	275
57	912
58	291
58	715
58	775
59	500
59	671
59	691
60	363
60	384
60	659
61	684
61	735
61	913
62	770
62	940
62	978
63	201
63	918
63	970
64	548
64	723
64	835
65	429
65	449
65	990
66	31
66	681
66	877
67	894
67	965
67	975
68	113
68	143
68	871
69	177
69	865
69	908
70	395
70	837
70	884
71	669
71	737
71	992
72	795
72	944
72	995
73	580
73	941
73	985
74	701
74	787
74	946
75	261
75	752
75	780
76	266
76	958
76	963
77	254
77	698
77	997
78	770
78	884
78	915
79	300
79	732
79	764
80	476
80	710
80	818
81	162
81	216
81	639
82	456
82	513
82	988
83	254
83	327
83	545
84	492
84	893
84	972
85	372
85	432
85	501
86	396
86	523
86	758
87	44
87	287
87	584
88	831
88	910
88	978
89	762
89	780
89	995
90	689
90	889
90	895
91	112
91	257
91	875
92	387
92	445
92	561
93	616
93	969
93	992
94	188
94	767
94	854
95	198
95	748
95	851
96	313
96	374
96	981
97	159
97	658
97	993
98	358
98	561
98	612
99	633
99	717
99	778
100	685
100	866
100	936
101	674
101	934
101	946
102	444
102	937
102	972
103	591
103	593
103	961
104	677
104	930
104	990
105	243
105	647
105	999
106	207
106	636
106	975
107	309
107	712
107	915
108	455
108	544
108	861
109	657
109	901
109	911
110	274
110	922
110	1000
111	17
111	349
111	999
112	91
112	574
112	920
113	68
113	718
113	929
114	522
114	683
114	941
115	487
